9876 4000
697789 8118 9175
683257 7138 9827
691152 5070 197
681626 6815 133
696563 9941 4103
698634 9415 9296
695422 8763 2290
698729 6400 4843
685933 8948 1179
680532 9173 560
684697 6622 5424
690344 7407 1518
695818 4887 6342
694274 6537 6120
684236 1965 4545
699741 9874 8374
686535 6382 7602
682420 1098 6571
688815 4129 7361
686542 9648 2857
698713 9938 5670
680454 3381 9755
684185 1868 3236
691908 8660 5163
696965 7482 2947
689920 1424 5716
698473 9250 7315
698949 4996 4060
690422 8011 6674
688063 4234 632
683980 8181 7972
681601 4788 6210
694183 7113 4519
687871 348 4919
683895 2514 5961
682758 9444 2515
694146 1631 8827
684461 7944 7689
680410 5408 240
684177 6112 7809
687720 6104 9403
689896 9946 8436
695883 212 5877
693924 7476 8598
683106 1721 8377
684552 2401 7367
688937 2721 6946
696066 8713 6484
685303 2056 8945
681942 6948 2635
693575 4276 6835
689202 1547 3933
685817 9526 5624
693549 6740 9458
691209 2963 4481
681895 8321 8746
687578 5917 2679
686863 2051 6759
695055 7609 3429
694580 9075 1385
689881 2141 7690
695457 8853 9447
694749 8714 3879
692811 9083 6709
687305 7520 2696
694168 9985 2208
698479 681 6215
680956 4926 6183
687039 3206 2222
688028 2565 9936
689388 6614 3552
689345 1731 2246
691183 2388 7960
695328 7735 1427
698132 8839 3695
695611 8149 7184
692912 6018 2675
697344 7879 487
697136 7152 9299
686497 9313 3417
696325 285 6742
689402 6237 610
690691 3840 5170
687358 9583 6749
682780 5480 6391
681327 2012 8750
693015 2167 6246
682651 9615 9853
690184 6808 527
691166 4115 8063
692312 7503 2092
694174 8365 6708
693649 2011 6665
686619 2638 3027
688389 6709 5139
688665 6539 8990
685955 6362 4065
698397 8741 1160
693581 2126 9169
690370 2230 1284
697660 9276 5495
685979 8634 5679
688507 7122 8436
690481 9397 3448
689614 2128 5345
680794 1830 3129
696506 9649 7767
680663 1403 9155
695625 3226 7684
680725 2539 8010
684960 929 9252
691409 3996 9230
686868 2795 9438
697337 4392 3443
684006 7111 3863
694585 2389 5592
698675 2629 659
687651 2319 2171
691594 3250 8544
690311 2425 5211
687505 3196 1757
685718 4264 2646
699731 7233 1470
693155 7998 3650
696046 7441 8645
698659 8054 4823
688482 3231 9724
681785 7229 5652
685774 5414 6641
682214 672 5513
693364 9058 8656
687487 8385 6516
691507 4884 7566
693243 1932 1908
696035 3207 7078
692851 7904 7241
692352 6380 8748
692965 3343 4321
684680 2348 7740
687686 98 9176
682933 1765 9406
692017 537 6901
684357 3133 4341
683544 3215 6947
692984 8143 2203
685001 660 5633
693792 1669 6307
692650 4324 6490
687678 3208 4066
684845 3164 7185
695839 7337 7117
690923 5640 2497
689993 5184 4279
695151 8180 742
697022 9465 685
688912 9120 8664
694266 4200 4180
685049 6527 8680
694487 2273 2963
695808 743 8473
690255 818 5377
696420 9241 3958
688516 333 810
682209 3146 3276
694112 9036 3240
696676 3898 9070
689409 8824 4001
683989 1479 9946
689417 3932 5657
687476 1930 7305
690342 2788 7472
695863 8340 6530
693350 2012 9232
689073 5693 7213
689649 1694 859
682275 6706 5532
681131 6790 6845
684644 1757 9317
697760 5160 6895
689337 1213 8520
693499 758 6844
686074 7097 2460
696060 3173 1506
689436 5339 5456
689862 9342 2617
687283 8238 1254
686404 6976 1398
685006 2107 9790
680348 4924 6267
687247 9023 458
698882 3316 5333
685947 154 7555
688580 1661 4338
693981 2124 3993
684976 5923 3699
697384 5067 7005
696787 9458 4384
697452 1815 1407
687157 5762 3559
686929 5816 9044
695414 2085 8028
690244 1089 4789
684992 5973 1514
698143 4951 2959
695440 853 6536
681958 7649 4955
682608 8880 4392
687204 2828 2953
695000 5337 6550
684454 607 2306
683999 7324 763
686181 5454 278
695018 8766 8851
698467 6296 2319
687340 3761 7450
683424 4218 9878
699634 7661 5114
681429 9127 3161
692035 7955 8448
694319 7013 6069
698862 2939 4122
686534 4247 4595
693983 3671 6733
698912 9501 4662
680604 599 6562
680486 565 1237
689117 7709 8456
681227 6518 7790
694426 5311 4604
687613 4743 1232
683152 2123 7732
697362 2045 3242
694843 2186 6998
688495 194 9045
693755 1670 1863
697277 3150 3032
698509 3711 4464
694343 6043 2290
681019 4233 474
688816 2735 3402
690719 4316 2917
692220 313 9074
682998 2903 8943
688553 9818 269
694446 8472 8441
699793 3666 1210
680812 3157 850
685231 5449 380
690175 1139 7768
681156 5434 6140
680835 4211 5245
689917 6054 8050
681879 7387 1563
698334 3183 7919
689715 1774 1470
689682 8576 1248
696088 1926 8727
693354 5937 5210
693030 3592 8768
684899 9331 7312
694534 6026 3228
684481 5967 4074
698333 4817 2976
697782 525 7719
682585 8100 6435
689853 9889 3917
697554 5349 259
696648 9758 4112
697262 7515 5376
684920 2950 8715
681306 715 5059
699247 9912 6294
693395 3131 5665
688862 5101 6394
683329 5499 6370
686888 8702 9524
691486 6281 3565
698121 7790 341
697859 8455 9964
683867 8796 6874
687557 1563 6633
693019 6589 3670
686999 8141 4140
693622 888 4791
697850 8882 2606
682569 6868 3805
686935 4456 3405
682182 2652 742
688752 5510 9899
684373 5834 6900
689884 4814 7847
680704 5935 7804
688640 2977 9180
695334 4357 8080
682904 5398 2746
697474 2813 554
688908 1077 8366
691051 6061 7183
692452 850 7006
690634 4999 3075
684117 4265 547
698825 45 4012
683358 4380 2270
680849 7602 7935
684714 8223 1327
681452 4055 2861
685780 2614 5486
697021 1400 109
681305 9259 8263
686374 6482 4474
696136 5127 9164
689136 5094 7437
686343 5248 5129
683449 3964 9637
681688 7329 43
685579 9176 2328
683874 7318 3714
683692 9365 1153
693710 9268 2473
683156 1427 8110
693018 7565 4904
699089 5517 9576
693753 5761 6276
694273 5000 3245
690653 7693 3834
695755 7055 8574
689261 7822 2113
685902 2125 1539
693556 8985 5740
690911 2361 6187
693902 3298 4814
682389 591 3419
681431 2968 5035
694269 4623 6889
695798 4386 9790
687683 3913 5043
682789 698 1914
697641 171 2082
687401 8258 2689
691540 6085 6980
688390 1661 9209
691889 6624 1359
688922 8250 136
688045 9220 4737
689482 4487 6500
682228 7767 7626
691374 1044 2182
691006 1496 223
695809 783 4331
689160 2066 2883
684043 9064 7497
694444 3791 9222
683194 8792 3953
683849 8225 2748
680865 189 5206
697484 489 9080
682483 1446 4903
694473 1106 600
695157 9638 5134
690877 5970 5093
699627 8794 1013
695741 3253 5879
693217 4267 3854
681639 7645 9892
685857 3594 19
684574 415 5760
699478 6869 307
699680 2248 6666
684308 3597 6558
688543 5816 3509
687424 8122 4695
682286 2269 7275
688541 6460 3516
681393 5699 3063
696624 859 351
684969 2600 1020
694916 8503 2207
692305 5527 8452
695537 1989 727
692217 7336 4263
690456 1580 195
686345 9023 4351
697507 9265 7848
698323 1176 519
693561 880 3370
685043 4296 7900
689382 7968 3440
685973 4035 2135
693057 277 4063
689817 2224 7933
692087 9085 9821
688650 4674 8777
692971 5863 4843
691603 6996 6867
692111 1424 6338
693593 539 9556
688873 7704 7441
695576 82 8235
697623 9981 3470
694220 4937 1956
682606 6377 2568
681270 4189 9846
688493 8619 1730
682500 8830 9564
680022 318 8736
680648 5727 9769
682527 1067 7656
681468 5527 5409
684642 9909 7890
695241 597 8805
680520 4069 9758
698848 3425 3291
683442 7102 947
690108 9240 4532
699886 1716 4882
699920 3966 209
688622 5499 106
694771 3438 5017
692132 1917 9124
693259 704 2216
689162 9290 4026
686570 4965 8701
697144 5415 5591
683216 2507 2321
680820 3426 272
693608 7797 7811
685490 2070 4502
691436 1436 9210
685187 6122 9248
687060 1465 8125
684843 6085 4576
698414 167 8346
681384 9386 8613
698599 200 8176
698271 7126 3675
685596 2953 8484
699159 5652 472
687903 5485 1382
693245 1269 2747
692542 4108 7975
698728 5059 8223
689724 7666 9109
684822 8409 9993
695203 4706 8317
680735 444 1327
691251 2982 5085
699790 7751 7647
681308 8246 2598
689396 8778 7571
697851 5536 942
693885 7216 2826
695118 655 1588
697887 3885 1745
690661 3344 3838
698896 5428 3543
691979 1220 9215
693717 9129 5907
694732 6218 8216
689589 9666 6663
698341 3244 9852
685232 9842 8921
692923 7042 7773
696012 1969 8894
687141 9233 4224
699479 8340 2805
698078 3843 5445
681803 1880 4719
695825 5896 6966
696587 5504 9114
686444 1135 4286
688338 9863 4280
697467 7411 2581
698168 3536 3132
680214 8757 7864
691055 4975 269
689711 3721 4688
680135 103 6047
691703 5543 326
697149 5107 4327
693483 9099 7848
689998 5140 8404
681247 6449 3559
683840 7950 1976
686994 533 939
687511 1422 7355
695642 4518 2976
690363 5917 7007
681598 4909 1541
694743 1417 5269
699654 7443 1748
688603 9401 4763
699770 2516 3807
697637 6713 2370
683695 7550 1849
691167 9855 2618
682930 717 2128
692023 9716 2083
681715 8851 5195
685147 1217 8405
699590 6755 9176
695841 7044 5519
684362 701 2877
682085 3068 2664
691569 9649 6831
699877 9868 5175
691100 4203 682
686683 635 6734
691962 2399 3101
697969 5890 9072
695172 8582 8627
689155 9482 1263
682446 8195 3136
696333 1011 1597
697278 3518 6182
691955 4565 3514
685248 1238 4203
699996 2480 8562
699495 6748 9008
698611 1179 4600
681414 5310 9498
688428 1613 4767
681759 6068 8389
683423 8212 6646
683466 8427 2720
691845 5546 4758
680642 5876 5735
696689 1370 4427
694848 2987 3212
695403 8611 9066
696246 2874 7766
688504 7539 3016
685934 3845 6393
686519 9691 4254
691165 1659 2477
688683 7221 1605
694832 6333 703
688333 6427 6905
680263 5013 3097
690151 8552 450
684962 9430 3005
692973 4456 2649
681336 757 7373
698685 3325 3245
697115 2713 4526
686517 622 6267
697201 5971 299
694972 9781 2149
688577 5254 4734
688714 3936 6630
693035 2345 1305
691864 8219 6049
682845 7876 1480
687129 1638 7881
688886 4528 3349
680679 9626 3825
696767 6188 1013
694429 7376 6163
697856 6155 8777
697047 8771 265
681229 8270 2576
698312 5484 3062
690493 6306 5677
685026 6044 8523
682057 3403 8752
688643 1381 5736
688432 7998 2512
691774 7112 2616
680797 4568 5694
690077 1685 5275
684031 5984 9018
698073 2413 7100
690524 1862 6187
689669 1073 5984
684015 2878 9219
695495 4642 5049
682683 2637 4001
682797 2763 5223
699657 2151 8996
691533 1960 8868
696872 7769 9375
692419 1251 4933
680913 9375 4768
682862 9519 3174
695828 8685 7564
696908 7792 5388
684297 8669 9953
682699 4306 8607
690546 5249 6657
697025 3758 2612
692453 5476 7952
697822 7000 2089
682187 1229 8891
686115 5841 4277
697395 3740 1291
686912 6374 295
695226 5379 4097
682334 2977 6751
686067 4678 9518
683865 7730 7979
691640 4796 3338
695291 9287 3434
690066 5529 8290
681981 486 9110
686811 2469 847
681674 1617 34
695906 3219 2929
697990 2897 2336
682522 2886 8012
696663 9114 4191
681676 5080 3858
692874 7548 8138
684131 6346 5130
688264 6049 4102
686162 4960 5731
697429 3880 1234
698518 5393 1661
695489 1728 4386
693678 4182 6480
699144 477 8164
685070 9035 4136
696921 1258 2376
684482 2406 926
682252 9563 9910
697586 4820 3362
680303 1834 2030
681333 4340 162
685431 9068 2088
694391 9912 8544
680927 3923 531
682790 3484 6880
689830 3821 5315
696079 8016 4742
685085 3159 4415
697390 3890 5128
691850 4577 1296
699817 1470 1330
697198 780 3812
699440 8861 212
697012 7131 9486
694657 90 1075
683523 9386 5818
689684 6777 3601
686281 9508 1476
688110 2445 9577
689143 4364 4692
685628 4357 8689
682717 7756 8463
698412 5030 196
695096 9332 9791
685735 7640 6364
685818 8805 9083
694356 9161 3843
683259 4435 4569
682969 6290 6870
697968 9350 1640
695694 2270 7912
691757 1968 4974
685322 1866 3406
684774 9617 3967
681686 5803 1368
698244 6765 194
689832 4875 5650
693132 7895 7966
683711 2947 2202
684922 6866 7339
682913 9154 4011
695213 3015 2179
699783 5355 5970
690655 3651 1030
681099 2693 3345
690324 3588 6462
688435 255 1961
690265 334 8542
687550 8600 6543
691407 3993 6152
691924 4915 1297
680472 3326 8449
697346 6588 2134
695202 3128 9274
688778 9937 8675
680140 1489 6080
681842 7571 1981
699532 2267 9641
681820 4772 6528
691250 987 3657
685501 4083 9099
682657 3879 191
684175 7692 3737
697018 9757 8349
690279 4030 1853
693913 229 7479
681999 3961 9290
691088 7624 1328
684366 1359 7425
681818 6628 3657
692989 756 9730
681341 4883 2988
699076 5927 7744
688402 1496 2523
697896 8341 5022
698230 2140 8745
696715 586 1341
687569 9772 6620
690959 5234 400
684485 7420 3788
694917 3878 1359
683579 6121 3251
684601 7170 9261
683141 8058 4118
681502 9557 5874
687297 5035 1384
685130 3819 5069
680245 3508 3881
691567 7942 5033
688450 2951 6631
683024 3204 5930
686727 1651 8581
680511 9271 9031
685926 7893 7290
694329 772 2700
693266 8864 9978
684300 6550 5681
699399 9198 9618
682436 5201 2257
695453 35 6934
689578 5328 1678
695893 3225 3362
682006 9233 1247
680621 4331 4845
699048 8344 3519
695859 9963 5733
699418 6672 1616
683328 9227 342
685792 5808 7733
699423 7786 3338
690725 3599 1644
685873 542 6890
684989 2462 7524
692913 3931 7703
692302 4381 64
687798 7337 2298
697666 1615 9965
682412 4035 9912
695965 4931 6977
698619 3823 3924
694423 7769 8931
697340 2376 8404
692500 1871 7868
681446 8808 5399
690854 9393 8703
685719 396 4871
690787 6857 1519
683264 1386 3787
689395 293 5824
682079 9871 4815
680904 8816 1664
688891 1268 8887
694896 4677 9171
684850 3068 9530
680064 5102 7718
697533 635 2501
694499 7042 9965
693276 5150 4450
685856 5250 5928
698670 6327 4998
680104 2134 56
698027 6480 3599
680212 1160 5668
688849 2783 1355
699576 1169 8959
695700 1054 5478
686975 5988 5127
696565 4964 9577
696282 5355 9286
683071 2873 3369
693711 302 9540
682936 202 6343
695420 2340 362
692444 5747 281
681092 2078 9243
687828 156 6167
694803 8173 9825
684935 660 1762
682222 8499 66
684746 6669 439
687620 8743 4834
691499 2987 3897
696260 5119 1202
690874 8826 3971
693603 535 9931
681709 390 3200
694918 6576 6492
697827 8821 8183
688904 1181 4319
681250 8925 6571
687838 8655 7191
695539 9186 5994
698306 592 7801
693371 2921 2072
695648 6670 5583
694292 63 66
698238 405 6263
684169 41 1118
680964 9757 2904
698722 9111 3212
693977 3935 3005
692588 1796 6284
689865 5429 5509
681005 813 7240
698488 6693 8048
688319 2827 959
699939 6085 9072
689540 3761 5834
682817 2072 4117
693600 6694 3126
692532 8980 8662
683496 5341 8543
682808 6405 3868
691523 9452 1487
693448 8627 1679
692804 3187 9138
680731 3517 5458
684193 7190 3818
680997 6483 1433
686987 913 9700
695956 9404 6582
690855 1812 4451
689161 5441 226
696051 7801 9158
683457 8843 6077
692174 5699 9941
694867 2195 2140
689258 2725 9264
692534 1003 8883
692051 6455 8136
686184 8870 6216
696670 7356 6412
682578 3570 6169
697422 9933 3098
681864 9180 4669
691812 2848 3524
695862 1978 4908
689437 4089 693
688407 7564 5782
683735 4245 8385
684305 2359 4944
696189 6507 6285
690513 6740 5013
680988 7777 1839
689868 7259 1342
680313 4183 932
691218 8501 7564
682745 8243 9555
686807 8874 4630
690976 9477 6778
689315 8843 1857
680125 1675 4821
699097 3673 9008
687323 9970 2873
680545 8178 8106
683436 3733 5546
688771 1721 5341
694488 9363 3126
685557 1298 6754
690799 213 9067
687379 7741 7392
683772 4457 6204
689974 2612 8536
697880 9359 1369
698940 913 7082
685879 9636 2424
682368 3926 5476
683922 6982 4233
697427 3187 6224
680688 9965 7888
699254 6278 4500
681741 5446 4042
681538 4704 2570
698679 5090 3522
692081 1598 8855
692147 3512 164
699856 9321 4813
689006 2405 7702
698632 9899 8975
694377 800 8695
691277 5063 6563
690123 8567 7804
689490 6323 3695
680377 8185 8334
692979 7229 9912
692837 4691 7799
696054 1906 2408
686153 315 1964
685615 5375 284
681992 5765 169
689141 3266 9247
691239 4860 6481
695428 5863 3485
696747 1514 9045
695727 7525 8615
689731 8524 4300
690636 8999 4316
695652 9518 6811
688586 2314 8552
694713 7089 4568
698348 6901 7789
698253 7837 5291
690764 316 4959
698516 5896 724
682631 9839 5051
696661 490 1559
698465 7987 3100
681790 7569 2305
689361 110 7956
687359 5835 8180
696138 723 7230
691087 4158 9078
682947 4117 940
697305 9683 8810
683568 1964 1422
681029 643 8413
691792 4000 9358
697295 6750 1500
697775 5861 3786
690887 3895 8886
697292 5193 1779
694893 5492 9718
696745 1869 658
695920 8007 2234
687099 5293 9722
697116 8058 6515
680130 9145 1025
683701 8615 1045
691832 2572 2113
694808 3406 3250
689534 9281 1659
695064 906 2343
694350 7213 3420
680562 9042 8721
680449 4569 1695
682171 1364 3566
699410 429 5413
695082 2993 8978
684581 75 2286
697054 434 7398
692442 5666 7112
692233 8078 4094
691827 545 1292
693746 5772 9142
697823 7215 8754
689094 2367 648
695836 3021 5671
681712 6682 279
683797 7153 4840
690427 5191 3160
689703 2977 2558
684467 5524 6175
699072 630 9441
692470 620 6524
683802 1478 8367
685946 2104 9245
686460 8629 6570
689596 2597 4727
680023 1617 9393
690766 7641 8526
696109 346 4370
689282 3311 6887
692949 5649 977
683325 8616 9717
689464 2636 530
692292 3963 3917
684767 5052 7862
686942 85 278
687292 5513 9985
684948 5181 1214
690034 388 3534
685924 8793 6834
696938 6600 562
697515 8626 1097
689621 822 7663
680973 7988 5093
691314 7019 4973
698972 350 3082
699727 8934 8554
698588 324 9557
689430 5647 312
695016 9203 716
698866 6260 8721
690521 9182 1985
685968 1647 9675
680605 9512 7606
681059 3866 1347
698510 6777 4787
688370 1559 2752
699959 3356 555
693287 2720 796
687318 9002 2895
698791 9209 6434
683098 9051 7625
684396 940 3379
692849 6926 8945
697091 6851 8511
694705 2742 3277
681212 5476 2371
682953 4371 6891
685372 3281 8298
689696 9125 3390
688242 9825 4460
693640 3358 199
699551 8716 7996
681088 6088 635
689318 5758 3795
683670 4527 334
697814 6378 7402
690314 5405 1379
686621 1957 619
693098 4840 6783
695215 9247 8216
685688 8949 6275
699840 2237 7239
697537 5964 5444
683782 1164 2109
682627 2293 8495
684891 7786 4271
691123 201 3773
689758 2463 1950
693102 7087 2953
691184 4652 1475
693911 6578 264
688621 7856 7150
695088 2856 8832
686110 3291 9652
693702 4036 8587
685002 1660 2185
682363 9700 4481
692914 7915 8808
686280 3908 3454
687562 6653 8620
680272 6971 4764
683912 8240 1086
681760 2241 2611
681428 5276 8958
695650 8768 4036
697318 2570 505
698607 7456 933
695008 4106 5437
691097 4993 2882
689207 8693 552
694154 5531 8068
696315 5552 7990
686464 2906 2581
683327 7288 3266
683589 948 2468
683673 3413 5707
688808 2742 2666
682422 9225 1138
691086 5230 3667
697162 5145 1781
694554 1004 6756
681349 8594 3215
691234 5109 1539
695554 6444 7743
686290 4062 7770
690585 2051 9902
683446 8994 4997
682716 2825 3245
682136 3259 7015
695208 5058 859
691106 7625 3603
689651 9096 4075
697207 4226 5149
683751 6314 2532
697204 9138 3279
691668 3690 2651
683469 288 5359
680158 3980 6817
699391 1706 2580
693325 2739 5803
695322 8331 2111
694752 9888 679
689698 925 540
680409 7829 6130
680784 6097 371
685805 9247 9910
695949 769 2469
683691 642 6593
690931 1179 3344
690805 3287 4720
697167 9515 6743
693865 229 8482
681558 3487 8923
689164 56 3934
682673 8733 3555
684355 7133 5241
694662 3707 9903
680142 4696 1646
694937 4887 8247
683158 5716 3818
686964 843 4915
680400 4822 9486
698215 3351 6498
682531 4277 4808
692850 8571 2022
695086 535 1578
686525 4740 5664
681526 5048 4162
693938 217 2912
689103 2216 3686
690531 6812 4701
696348 3172 7836
699926 7404 5357
680147 6875 2306
684519 6127 7476
699789 4717 2862
682466 738 9387
687713 3087 1037
688321 8641 9232
690715 2337 8069
683489 9179 175
688907 5462 2004
690975 7541 4812
682416 3821 8467
698415 6110 2476
687886 6077 9581
695623 5432 9192
693789 5254 8458
691601 2234 997
693227 3372 2047
698815 1272 2515
693693 866 3572
694801 4027 7986
682999 7719 2752
689879 4791 5439
689188 961 9152
693263 9855 8797
685352 7953 8947
691354 1848 897
691353 1490 1329
690941 9266 1464
697041 3739 3043
696249 2261 3619
686895 3802 5579
692345 3073 9725
682122 5757 7348
680713 3184 3078
680822 7759 4266
681194 7239 2942
693749 2927 372
692289 5795 5501
687179 2080 3449
696673 6985 6711
686452 6552 2397
687467 7245 8093
690104 1836 4607
680188 8270 4127
687685 4665 944
693342 6932 134
694442 8361 7904
699002 8639 4686
687688 9281 3658
682701 4063 6727
686737 9797 6827
699259 7232 2137
690915 2659 1408
687901 5910 5113
689087 1760 2071
681730 6357 1435
694788 5462 5564
698741 9887 893
693987 9751 7956
695875 4493 5100
686829 8407 7515
699617 9027 153
686797 3560 636
692290 9151 8877
689626 8437 1740
683609 2075 2780
688917 9508 9095
691616 1000 4018
692244 9145 1653
696937 4231 8783
686982 776 3920
695767 2424 5388
683374 3299 1540
691413 1211 8978
684256 8188 4705
686576 8267 400
699609 5913 9103
699577 4155 5699
695131 8537 6203
690798 6135 8282
698639 6392 3235
687083 5908 4408
682843 1227 3034
689565 4676 7585
694227 5167 9185
698836 8412 5673
697083 9574 242
687523 9159 4274
692925 9380 3942
681257 1898 7615
689660 8487 6970
692770 5134 2463
686453 9722 4178
688438 5067 5487
690914 6854 8672
683196 5385 7829
681920 4074 5576
688788 6244 6278
697494 3943 5206
693366 4286 8897
689637 8146 2969
699663 9641 6831
681444 2883 4424
689797 546 7294
686939 6135 3953
698019 4021 3937
694092 8665 6834
688150 8071 8126
681659 8415 6139
696023 8229 235
686001 3259 2985
686449 6087 1126
693502 8086 2950
691477 8759 7843
685448 7328 5680
685359 2945 8708
691014 9712 3196
683529 6552 3330
683612 5070 7642
685782 2848 5159
695797 2816 7076
695550 5013 4823
681302 6164 2356
697903 2168 8290
689408 2244 7554
687581 9654 3603
687164 3604 2096
691074 3444 1088
695789 4345 1619
696044 8967 4389
691174 7346 1029
687339 7147 7882
698927 9868 3058
682443 2815 195
683185 4791 9230
686732 2367 1757
694601 210 502
688654 8422 6215
685525 53 3842
696799 8828 2045
686499 8382 8858
689153 4461 5372
697976 2103 757
685053 8009 5438
691333 1959 527
691308 7560 6206
698829 3168 9736
699225 381 2059
695526 5008 2753
682414 1036 791
697876 2198 3707
681293 6657 5565
699308 6233 9890
693567 1467 8340
693248 220 1141
688923 6023 9298
690759 758 6984
693258 4572 5229
693777 2555 3388
697769 4587 401
681605 3551 2319
688093 205 3865
699581 5550 6314
699626 6720 1204
688136 4364 30
683890 2257 2194
691340 4910 9077
681614 1771 8449
684844 5120 7124
680536 6460 7304
699925 5721 1510
681263 1288 2414
687156 7957 2669
688004 1853 456
688298 4924 2412
695173 2167 8592
687021 3713 5089
687604 6174 9709
682183 1977 5640
696573 4709 613
697230 2763 2559
686733 2384 3205
680484 5236 1196
691331 3844 7050
685107 4937 9160
698189 7322 3387
683047 5773 1942
686111 4323 6452
685016 2521 2552
687399 9518 6530
697618 4932 9145
695436 8084 7018
697365 8134 4488
698360 7961 7460
692877 530 7097
693189 6926 4894
696678 4690 1800
683219 4173 7052
694361 713 555
697048 534 7523
690025 7498 3550
693230 3779 7046
690346 70 8159
692550 6666 3259
694113 5699 8193
688409 1593 7721
683049 1391 437
692036 2963 472
696827 4069 3686
690869 6474 3651
696805 7929 9901
695087 5394 1055
681867 7078 1077
697716 6610 8014
690969 7736 7755
680578 3667 2603
687097 325 8079
690795 5739 4610
699830 5226 1232
685617 5530 5006
682264 4206 1012
694222 1605 6252
697865 2186 8122
683269 4503 2469
689455 8618 1197
681025 6109 6387
682185 8824 8192
687689 1048 6373
686696 2743 4719
696042 276 1958
682543 8288 6403
684358 3769 4200
680501 7057 7246
692166 4837 926
692186 647 7251
681060 2310 5572
689498 9643 5745
685576 7790 5785
681054 4111 6702
694178 761 2468
684620 135 3630
690012 8394 8088
686146 1320 4954
681664 7513 8626
688066 7054 8357
685469 936 9027
686772 6584 7147
688457 4600 4107
682973 9137 5243
689469 2890 5846
683183 7436 1818
682718 1030 1894
682246 583 6442
697220 2436 1718
697522 2736 4905
684611 5588 6273
695209 9758 6301
680150 9424 1092
692048 3496 158
683793 5498 456
682026 5590 7595
685956 1297 9901
685024 1012 6
680476 785 1408
687032 2959 1058
693310 7447 5636
691138 6380 4031
695469 1797 7911
682536 2662 3555
694994 2334 4580
690434 7307 7199
686422 5880 9047
691307 7497 6876
681142 3098 7831
693811 70 7299
690541 1365 1880
688947 3445 1801
694238 9804 5877
697966 4673 5194
681978 8890 2799
689801 2348 7629
681198 2482 5820
682429 668 1351
692103 359 8756
687740 3052 5463
681828 7378 8554
685572 2504 1911
681991 2004 3567
686842 1960 7743
684059 891 7708
689509 8877 1389
697631 8036 2212
685210 6786 2444
695503 1931 4409
686066 3809 5426
680206 153 9276
689438 5469 3397
685100 9830 6497
697900 4606 7160
691742 3946 8525
699533 4163 236
699096 904 716
689064 6112 5262
684459 2364 8876
698861 926 5518
689019 5376 5837
684950 118 7420
687799 5813 4921
684832 207 1775
689466 401 7631
696126 8611 1748
683060 6924 3837
680888 9255 1907
682116 772 8396
684848 9465 3769
688869 491 4851
684544 5563 3646
686482 6236 5503
694833 3018 2270
683565 3940 8902
688487 605 7076
694796 6014 7817
697709 211 9302
680294 4638 8866
694698 9231 7387
695966 6390 7728
686158 4449 3795
689163 6300 3484
697194 8420 3939
691028 998 3895
682031 4688 2992
695979 4359 5852
699128 9435 3289
693358 4521 2310
692391 1280 2174
688525 3568 2287
689352 6522 6458
689999 6531 6216
681477 6590 8328
697904 4293 9073
694723 5464 2951
684253 535 7170
681433 8669 3989
685071 3660 1458
684138 7590 6834
686801 6915 4204
684395 3773 6226
694524 1788 8584
687997 2653 4299
685258 2977 5828
686915 6251 3630
693479 2907 340
683378 1198 591
699122 4233 9299
694527 3983 2346
690559 7961 2802
692618 2506 6654
680361 180 5744
687503 874 6534
699011 966 4503
694086 8032 6605
681853 2083 9302
684965 9926 8966
694379 4197 3835
690000 4846 6505
680477 2587 8259
691805 8367 1152
683997 7346 9403
699071 7914 2682
680625 5095 5711
690064 5149 1726
692688 6018 9221
680207 8065 852
680223 1787 5121
688618 1872 8622
684066 7318 2484
680517 2955 9069
685678 5855 7920
692479 5681 8172
691050 7556 1615
691506 1396 960
695861 3556 1138
685291 3048 744
681540 7385 4995
686389 8011 3256
698560 9756 9462
692074 1236 9575
696817 9707 326
699290 424 7895
681483 1314 5411
688051 4181 4758
688125 2730 4766
696195 7704 9330
682515 5250 2564
686207 9332 5977
683382 9091 7226
685433 6579 1985
691168 119 3753
690748 2008 6463
686974 7900 7285
696268 2925 6849
683863 4534 5257
687029 9352 1424
693094 213 8985
698854 7365 5827
690205 305 8770
697884 950 9105
696954 4941 806
687286 9100 7887
681401 2102 3234
683832 6688 2587
687795 1699 1608
689327 4849 4832
688215 8015 4004
688492 5107 17
685778 626 7127
688025 2662 7782
682667 5183 3714
688135 5061 7391
690968 1725 23
691544 2472 9470
683563 8031 8301
693199 8439 9419
686575 9436 2568
691016 5255 9898
680262 3587 3016
688739 911 1298
695995 5514 8094
699642 4056 7912
699542 4240 772
689394 9830 3915
681699 2103 2987
686753 4924 6753
687500 5290 5660
690355 7975 536
693963 6999 4634
697077 3799 4348
687052 6391 2638
690282 4770 6450
696537 3113 7759
697548 1050 3037
693747 1223 5100
698241 3411 130
685832 850 9231
687107 2839 4181
687879 4708 6154
692957 4126 2958
684382 8618 2333
685631 286 9206
682230 7100 537
686456 712 8602
691350 3146 401
682690 3300 3647
685461 5201 5145
698220 7627 6459
680259 4165 5929
698678 630 7900
688038 621 5802
688127 80 5784
699982 455 3722
694942 4359 1202
699580 5375 7276
692488 4653 8356
693142 9782 3730
686189 2952 1751
685470 9324 7522
695850 8895 3521
690284 6576 2679
692422 189 8773
687395 9617 4479
682838 350 4757
694931 3131 1878
680109 1240 9344
688773 1157 8341
689444 9264 3894
695349 8872 4933
688209 6090 3541
689467 1317 2244
688225 141 4886
